intra_threads,inter_threads,batch_size,data_load_time_sec,model_init_time_sec,train_time_total_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,eval_time_sec,test_accuracy
4,1,256,2.3884344440011773,0.0075791939998453,2286.855917527002,840.9297314539872,1402.0682597559244,0.9642550768548972,29.90775332600242,0.6207
4,2,256,2.1376511359994765,0.0068799250002484,2282.579357953,827.9022109679972,1413.3494961910146,0.9024567510969064,20.156762907001397,0.6207
4,3,256,2.109997514002316,0.0050216439994983,2331.3197007100025,860.2323127740128,1427.5862158130512,0.9418099979993712,25.96773463099817,0.6207
4,4,256,2.2080650120005885,0.006482673001301,2330.5955606569987,845.4279807610292,1442.219334454996,0.9063574490210158,34.70414007899672,0.6207
1,1,512,7.745966097999997,0.0656091249999804,2947.779291318,1165.6714952960006,1740.4945579130076,0.4799289890034401,42.63868287499963,0.5261
1,2,512,2.597044477000054,0.005197417999625,2823.98846198,1104.642319071017,1675.6892667219995,0.4856047350108383,36.06958239399955,0.5261
1,3,512,2.4758791680005743,0.0049513350004417,2797.435508226001,1094.6985339859957,1659.6270711799923,0.5281583879959726,34.4187909329994,0.5261
1,4,512,2.6087590400002227,0.0056505080010538,2774.678060747001,1080.2683745339818,1651.0751704480026,0.4657842320157215,36.68367328699969,0.5261
2,1,512,2.778792199998861,0.0073743350003496,2381.104674061,891.7232999470143,1447.7856482210009,0.542403801006003,30.20738111800165,0.5275
2,2,512,2.7021400359990366,0.0049777309995988,2481.8538202030013,936.5294479269742,1502.944956195039,0.4668209200008277,34.35400443300023,0.5275
2,3,512,2.793617503997666,0.0051327019973541,2379.8558703599992,885.214172138003,1453.307995657029,0.5460082720055652,30.055751550000423,0.5275
2,4,512,2.4745150360031403,0.0049463050017948,2482.2802133930018,942.150898838092,1497.562269367019,0.4538990119835944,34.230158223002945,0.5275
3,1,512,2.5666784919994825,0.0052032089988642,2459.1614749069995,924.3082895149564,1492.6565813119814,0.4282323270017514,34.40177720800057,0.5579
3,2,512,2.806970633999299,0.0049473959988972,2470.961172344,899.3630611679582,1529.2125118000258,0.4562234590230218,32.95189927499814,0.5579
3,3,512,2.7961042349998024,0.0069673500001954,2490.053528015,930.1235019659724,1516.9291995669992,0.4454227260102925,34.26416177799911,0.5579
3,4,512,2.7118304899995564,0.0050021530005324,2450.0363362239987,893.4508297609755,1513.984719598986,0.4432279689535789,33.273880957000074,0.5579
4,1,512,2.517940510002518,0.005050867999671,2444.3194910549973,912.7958523120832,1487.453720232097,0.4567282409407198,32.783758079996915,0.5585
4,2,512,2.8231849029980367,0.0050435730008757,2365.1885347510038,885.354558789084,1436.1648364080902,0.4707581059337826,31.36121082599857,0.5585
4,3,512,2.517528593001771,0.0058549620007397,2440.011016753,924.2652373769016,1472.5770047069743,0.4705949939525453,35.02169942000182,0.5585
4,4,512,2.889053765000426,0.0070470470018335,2438.1319688000003,926.6178661279772,1468.689264875873,0.461132225143956,34.738310102999094,0.5585
1,1,64,7.574940217999995,0.0853441909999901,1820.036891211,695.6812319780013,1079.6570471799987,3.133934273995777,27.19880616700016,0.6194
1,2,64,2.731757471000037,0.0042763289998219,1858.787902969,709.9397335270196,1101.8331584859875,3.322221169004024,23.155385870999908,0.6194
1,3,64,2.0654649150001205,0.0050940679998348,1833.519314634,696.9371538210526,1088.9843619180117,3.4121386540186904,23.16218585100069,0.6194
1,4,64,2.018916444000752,0.0044410560003598,1835.9958256699992,698.384988419989,1090.0714917259884,3.382358328982264,23.29628182400029,0.6194
2,1,64,7.136538211000016,0.0738747409999973,1771.328450569,644.5126903930058,1070.157244966002,3.75385241900969,21.538576749999947,0.6194
